,category,header,content
0,weather,Raining animals and other strange weather events you don’t see every day!,
1,weather,A Stop at McDonalds Might Have Saved My Life,
2,weather,Talking Sky and a Rainbow.,
3,weather,Radiohead and a Rushing Wind,
4,weather,Haar,
5,weather,May Storms,
6,weather,That Time of Year (blink and you’ve missed it),
7,weather,A Drenching In The Storm,
8,weather,Goslings and Construction,
